Assumed Temperature(C),Airport Pressure altitude(ft),N1(%),Minimum Assumed Temperature(C)
10,-1000,95.8,32
15,-1000,96.5,32
20,-1000,97.3,32
25,-1000,98.1,32
30,-1000,98.8,32
35,-1000,98.7,32
40,-1000,98.1,32
45,-1000,97.4,32
50,-1000,96.6,32
55,-1000,96,32
60,-1000,95.4,32
65,-1000,94.8,32
70,-1000,94.1,32
75,-1000,93.4,32
10,0,97.2,30
15,0,98,30
20,0,98.8,30
25,0,99.5,30
30,0,100.3,30
35,0,99.4,30
40,0,98.6,30
45,0,97.8,30
50,0,97.1,30
55,0,96.5,30
60,0,95.8,30
65,0,95.1,30
70,0,94.4,30
75,0,93.7,30
10,1000,97.8,28
15,1000,98.6,28
20,1000,99.3,28
25,1000,100.1,28
30,1000,100.3,28
35,1000,99.5,28
40,1000,98.7,28
45,1000,98,28
50,1000,97.3,28
55,1000,96.6,28
60,1000,95.9,28
65,1000,95.2,28
70,1000,94.4,28
75,1000,94.2,28
10,2000,98.4,26
15,2000,99.2,26
20,2000,99.9,26
25,2000,100.7,26
30,2000,100.4,26
35,2000,99.6,26
40,2000,98.8,26
45,2000,98.1,26
50,2000,97.4,26
55,2000,96.7,26
60,2000,96,26
65,2000,95.2,26
70,2000,94.4,26
75,2000,94.7,26
10,3000,98.7,24
15,3000,99.5,24
20,3000,100.2,24
25,3000,100.8,24
30,3000,100.4,24
35,3000,99.7,24
40,3000,98.9,24
45,3000,98.3,24
50,3000,97.6,24
55,3000,96.8,24
60,3000,96.1,24
65,3000,95.3,24
70,3000,94.7,24
75,3000,95.4,24
10,4000,99,22
15,4000,99.8,22
20,4000,100.5,22
25,4000,100.7,22
30,4000,100.5,22
35,4000,99.8,22
40,4000,99,22
45,4000,98.4,22
50,4000,97.7,22
55,4000,96.9,22
60,4000,96.2,22
65,4000,95.4,22
70,4000,95.4,22
75,4000,96.1,22
10,5000,99.4,20
15,5000,100.1,20
20,5000,100.8,20
25,5000,100.7,20
30,5000,100.5,20
35,5000,99.9,20
40,5000,99.2,20
45,5000,98.5,20
50,5000,97.8,20
55,5000,97.1,20
60,5000,96.3,20
65,5000,95.5,20
70,5000,96.2,20
75,5000,96.9,20
10,6000,99.7,18
15,6000,100.5,18
20,6000,100.8,18
25,6000,100.7,18
30,6000,100.4,18
35,6000,99.8,18
40,6000,99.1,18
45,6000,98.4,18
50,6000,97.7,18
55,6000,96.9,18
60,6000,96.2,18
65,6000,96,18
70,6000,96.6,18
75,6000,97.3,18
10,7000,100.1,16
15,7000,100.9,16
20,7000,100.9,16
25,7000,100.7,16
30,7000,100.3,16
35,7000,99.5,16
40,7000,98.8,16
45,7000,98.1,16
50,7000,97.4,16
55,7000,96.6,16
60,7000,95.9,16
65,7000,96.2,16
70,7000,96.9,16
75,7000,97.6,16
10,8000,100.5,15
15,8000,101.1,15
20,8000,100.8,15
25,8000,100.6,15
30,8000,100,15
35,8000,99.2,15
40,8000,98.5,15
45,8000,97.8,15
50,8000,97.1,15
55,8000,96.3,15
60,8000,95.8,15
65,8000,96.5,15
70,8000,97.1,15
75,8000,97.8,15
10,9000,101,12
15,9000,101.1,12
20,9000,100.8,12
25,9000,100.6,12
30,9000,99.9,12
35,9000,99.1,12
40,9000,98.4,12
45,9000,97.5,12
50,9000,96.6,12
55,9000,95.7,12
60,9000,95.7,12
65,9000,96.4,12
70,9000,97.1,12
75,9000,97.8,12
10,10000,101.5,10
15,10000,101.1,10
20,10000,100.8,10
25,10000,100.7,10
30,10000,99.9,10
35,10000,99,10
40,10000,98.1,10
45,10000,97.1,10
50,10000,96.1,10
55,10000,95,10
60,10000,95.7,10
65,10000,96.4,10
70,10000,97.1,10
75,10000,97.7,10
