Assumed Temperature(C),Airport Pressure altitude(ft),N1(%),Minimum Assumed Temperature(C)
10,-1000,92,32
15,-1000,92.7,32
20,-1000,93.5,32
25,-1000,94.3,32
30,-1000,95,32
35,-1000,94.8,32
40,-1000,94,32
45,-1000,93.2,32
50,-1000,92.4,32
55,-1000,91.6,32
60,-1000,90.8,32
65,-1000,90,32
70,-1000,89.1,32
75,-1000,88.3,32
10,0,93,30
15,0,93.8,30
20,0,94.6,30
25,0,95.4,30
30,0,96.1,30
35,0,95.2,30
40,0,94.4,30
45,0,93.6,30
50,0,92.8,30
55,0,92,30
60,0,91.2,30
65,0,90.4,30
70,0,89.5,30
75,0,88.6,30
10,1000,93.6,28
15,1000,94.3,28
20,1000,95.1,28
25,1000,95.9,28
30,1000,96,28
35,1000,95.2,28
40,1000,94.4,28
45,1000,93.6,28
50,1000,92.8,28
55,1000,92,28
60,1000,91.2,28
65,1000,90.3,28
70,1000,89.4,28
75,1000,89.1,28
10,2000,94.1,26
15,2000,94.9,26
20,2000,95.7,26
25,2000,96.4,26
30,2000,96,26
35,2000,95.2,26
40,2000,94.4,26
45,2000,93.6,26
50,2000,92.8,26
55,2000,92,26
60,2000,91.1,26
65,2000,90.2,26
70,2000,89.3,26
75,2000,89.6,26
10,3000,94.7,24
15,3000,95.5,24
20,3000,96.3,24
25,3000,96.7,24
30,3000,96,24
35,3000,95.1,24
40,3000,94.3,24
45,3000,93.6,24
50,3000,92.7,24
55,3000,91.9,24
60,3000,91.1,24
65,3000,90.2,24
70,3000,89.6,24
75,3000,90.2,24
10,4000,95.3,22
15,4000,96.1,22
20,4000,96.9,22
25,4000,96.7,22
30,4000,95.9,22
35,4000,95.1,22
40,4000,94.3,22
45,4000,93.5,22
50,4000,92.7,22
55,4000,91.9,22
60,4000,91,22
65,4000,90.1,22
70,4000,90.1,22
75,4000,90.8,22
10,5000,96,20
15,5000,96.8,20
20,5000,97.6,20
25,5000,96.6,20
30,5000,95.8,20
35,5000,95,20
40,5000,94.2,20
45,5000,93.5,20
50,5000,92.7,20
55,5000,91.9,20
60,5000,91.1,20
65,5000,90.2,20
70,5000,90.8,20
75,5000,91.5,20
10,6000,96.7,18
15,6000,97.5,18
20,6000,97.5,18
25,6000,96.6,18
30,6000,95.8,18
35,6000,95,18
40,6000,94.2,18
45,6000,93.5,18
50,6000,92.7,18
55,6000,92,18
60,6000,91.2,18
65,6000,90.9,18
70,6000,91.6,18
75,6000,92.2,18
10,7000,97.5,16
15,7000,98.2,16
20,7000,97.5,16
25,7000,96.5,16
30,7000,95.7,16
35,7000,94.9,16
40,7000,94.1,16
45,7000,93.4,16
50,7000,92.6,16
55,7000,91.9,16
60,7000,91,16
65,7000,91.4,16
70,7000,92,16
75,7000,92.7,16
10,8000,98.2,15
15,8000,98.6,15
20,8000,97.4,15
25,8000,96.4,15
30,8000,95.7,15
35,8000,94.8,15
40,8000,94.1,15
45,8000,93.3,15
50,8000,92.6,15
55,8000,91.7,15
60,8000,91.2,15
65,8000,91.8,15
70,8000,92.5,15
75,8000,93.1,15
10,9000,99.1,12
15,9000,98.6,12
20,9000,97.3,12
25,9000,96.4,12
30,9000,95.6,12
35,9000,94.8,12
40,9000,94,12
45,9000,93.1,12
50,9000,92.2,12
55,9000,91.3,12
60,9000,91.3,12
65,9000,91.9,12
70,9000,92.6,12
75,9000,93.3,12
10,10000,100,10
15,10000,98.5,10
20,10000,97.2,10
25,10000,96.3,10
30,10000,95.6,10
35,10000,94.7,10
40,10000,93.8,10
45,10000,92.8,10
50,10000,91.8,10
55,10000,90.8,10
60,10000,91.4,10
65,10000,92.1,10
70,10000,92.7,10
75,10000,93.4,10
